player,overs,maidens,runs,wickets,economy,average,sr,opposition,ground,date
RA Jadeja (INDIA),7,0,29,1,4.14,29,42,v Sri Lanka,Dhaka,13/01/10
Z Khan (INDIA),10,0,51,0,5.1,-0,-0,v Sri Lanka,Dhaka,13/01/10
V Kohli (INDIA),1.4,0,12,0,7.2,-0,-0,v Sri Lanka,Dhaka,13/01/10
A Nehra (INDIA),1.2,0,2,1,1.5,2,8,v Sri Lanka,Dhaka,13/01/10
S Sreesanth (INDIA),9.3,0,72,0,7.57,-0,-0,v Sri Lanka,Dhaka,13/01/10
Yuvraj Singh (INDIA),9,0,41,1,4.55,41,54,v Sri Lanka,Dhaka,13/01/10
DE Bollinger (AUSTRALIA),9.4,0,37,2,3.82,18.5,29,v Pakistan,Brisbane,22/01/10
MJ Clarke (AUSTRALIA),2,0,8,0,4,-0,-0,v Pakistan,Brisbane,22/01/10
NM Hauritz (AUSTRALIA),9,0,68,0,7.55,-0,-0,v Pakistan,Brisbane,22/01/10
MEK Hussey (AUSTRALIA),2,0,12,0,6,-0,-0,v Pakistan,Brisbane,22/01/10
CJ McKay (AUSTRALIA),9,0,61,3,6.77,20.33,18,v Pakistan,Brisbane,22/01/10
PM Siddle (AUSTRALIA),8,1,48,0,6,-0,-0,v Pakistan,Brisbane,22/01/10
SR Watson (AUSTRALIA),10,0,36,4,3.6,9,15,v Pakistan,Brisbane,22/01/10
DE Bollinger (AUSTRALIA),9,1,19,2,2.11,9.5,27,v Pakistan,Sydney,24/01/10
MJ Clarke (AUSTRALIA),3,0,14,0,4.66,-0,-0,v Pakistan,Sydney,24/01/10
NM Hauritz (AUSTRALIA),7,0,45,2,6.42,22.5,21,v Pakistan,Sydney,24/01/10
CJ McKay (AUSTRALIA),7.3,0,15,3,2,5,15,v Pakistan,Sydney,24/01/10
PM Siddle (AUSTRALIA),8,1,23,1,2.87,23,48,v Pakistan,Sydney,24/01/10
SR Watson (AUSTRALIA),3,0,10,1,3.33,10,18,v Pakistan,Sydney,24/01/10
DE Bollinger (AUSTRALIA),9,0,35,0,3.88,-0,-0,v Pakistan,Adelaide,26/01/10
MJ Clarke (AUSTRALIA),2,0,6,0,3,-0,-0,v Pakistan,Adelaide,26/01/10
RJ Harris (AUSTRALIA),10,0,43,5,4.3,8.6,12,v Pakistan,Adelaide,26/01/10
NM Hauritz (AUSTRALIA),7.4,0,37,1,4.82,37,46,v Pakistan,Adelaide,26/01/10
CJ McKay (AUSTRALIA),10,1,48,3,4.8,16,20,v Pakistan,Adelaide,26/01/10
SR Watson (AUSTRALIA),9,0,66,1,7.33,66,54,v Pakistan,Adelaide,26/01/10
RJ Harris (AUSTRALIA),9.5,3,19,5,1.93,3.8,11.8,v Pakistan,Perth,29/01/10
NM Hauritz (AUSTRALIA),8,0,48,1,6,48,48,v Pakistan,Perth,29/01/10
JR Hopes (AUSTRALIA),7,0,23,0,3.28,-0,-0,v Pakistan,Perth,29/01/10
CJ McKay (AUSTRALIA),7,2,16,1,2.28,16,42,v Pakistan,Perth,29/01/10
PM Siddle (AUSTRALIA),6,0,31,2,5.16,15.5,18,v Pakistan,Perth,29/01/10
RJ Harris (AUSTRALIA),10,1,44,3,4.4,14.66,20,v Pakistan,Perth,31/01/10
NM Hauritz (AUSTRALIA),10,0,38,0,3.8,-0,-0,v Pakistan,Perth,31/01/10
JR Hopes (AUSTRALIA),10,1,45,0,4.5,-0,-0,v Pakistan,Perth,31/01/10
MG Johnson (AUSTRALIA),10,1,42,2,4.2,21,30,v Pakistan,Perth,31/01/10
CJ McKay (AUSTRALIA),9.3,3,35,4,3.68,8.75,14.2,v Pakistan,Perth,31/01/10
DE Bollinger (AUSTRALIA),6,3,18,2,3,9,18,v West Indies,Melbourne,07/02/10
RJ Harris (AUSTRALIA),9,1,24,3,2.66,8,18,v West Indies,Melbourne,07/02/10
NM Hauritz (AUSTRALIA),6.2,0,28,3,4.42,9.33,12.6,v West Indies,Melbourne,07/02/10
MG Johnson (AUSTRALIA),7,0,31,1,4.42,31,42,v West Indies,Melbourne,07/02/10
SR Watson (AUSTRALIA),6,0,31,1,5.16,31,36,v West Indies,Melbourne,07/02/10
DE Bollinger (AUSTRALIA),8,2,28,4,3.5,7,12,v West Indies,Adelaide,09/02/10
NM Hauritz (AUSTRALIA),10,0,45,1,4.5,45,60,v West Indies,Adelaide,09/02/10
MG Johnson (AUSTRALIA),8,0,36,1,4.5,36,48,v West Indies,Adelaide,09/02/10
CJ McKay (AUSTRALIA),7.4,1,33,2,4.3,16.5,23,v West Indies,Adelaide,09/02/10
SR Watson (AUSTRALIA),6,1,24,1,4,24,36,v West Indies,Adelaide,09/02/10
DE Bollinger (AUSTRALIA),1,0,2,0,2,-0,-0,v West Indies,Sydney,12/02/10
DE Bollinger (AUSTRALIA),10,1,44,2,4.4,22,30,v West Indies,Brisbane,14/02/10
RJ Harris (AUSTRALIA),10,0,64,2,6.4,32,30,v West Indies,Brisbane,14/02/10
NM Hauritz (AUSTRALIA),10,1,47,1,4.7,47,60,v West Indies,Brisbane,14/02/10
JR Hopes (AUSTRALIA),6,1,39,1,6.5,39,36,v West Indies,Brisbane,14/02/10
MG Johnson (AUSTRALIA),10,0,55,1,5.5,55,60,v West Indies,Brisbane,14/02/10
AC Voges (AUSTRALIA),4,0,17,0,4.25,-0,-0,v West Indies,Brisbane,14/02/10
DE Bollinger (AUSTRALIA),7,1,33,3,4.71,11,14,v West Indies,Melbourne,19/02/10
RJ Harris (AUSTRALIA),7,2,26,2,3.71,13,21,v West Indies,Melbourne,19/02/10
JR Hopes (AUSTRALIA),6,0,27,1,4.5,27,36,v West Indies,Melbourne,19/02/10
CJ McKay (AUSTRALIA),7,1,35,1,5,35,42,v West Indies,Melbourne,19/02/10
SPD Smith (AUSTRALIA),9.5,0,78,2,7.93,39,29.5,v West Indies,Melbourne,19/02/10
RA Jadeja (INDIA),10,2,29,2,2.9,14.5,30,v South Africa,Jaipur,21/02/10
P Kumar (INDIA),8,0,46,2,5.75,23,24,v South Africa,Jaipur,21/02/10
A Nehra (INDIA),10,0,67,1,6.7,67,60,v South Africa,Jaipur,21/02/10
YK Pathan (INDIA),10,0,51,1,5.1,51,60,v South Africa,Jaipur,21/02/10
SK Raina (INDIA),3,0,25,0,8.33,-0,-0,v South Africa,Jaipur,21/02/10
S Sreesanth (INDIA),9,1,74,2,8.22,37,27,v South Africa,Jaipur,21/02/10
RA Jadeja (INDIA),8.5,0,41,2,4.64,20.5,26.5,v South Africa,Gwalior,24/02/10
P Kumar (INDIA),5,0,31,1,6.2,31,30,v South Africa,Gwalior,24/02/10
A Nehra (INDIA),8,0,60,2,7.5,30,24,v South Africa,Gwalior,24/02/10
YK Pathan (INDIA),9,1,37,2,4.11,18.5,27,v South Africa,Gwalior,24/02/10
V Sehwag (INDIA),5,0,25,0,5,-0,-0,v South Africa,Gwalior,24/02/10
S Sreesanth (INDIA),7,0,49,3,7,16.33,14,v South Africa,Gwalior,24/02/10
RA Jadeja (INDIA),10,0,53,1,5.3,53,60,v South Africa,Ahmedabad,27/02/10
V Kohli (INDIA),2,0,11,0,5.5,-0,-0,v South Africa,Ahmedabad,27/02/10
A Mithun (INDIA),8,0,63,0,7.87,-0,-0,v South Africa,Ahmedabad,27/02/10
YK Pathan (INDIA),10,0,66,1,6.6,66,60,v South Africa,Ahmedabad,27/02/10
RG Sharma (INDIA),3,0,28,0,9.33,-0,-0,v South Africa,Ahmedabad,27/02/10
S Sreesanth (INDIA),9,0,83,0,9.22,-0,-0,v South Africa,Ahmedabad,27/02/10
S Tyagi (INDIA),8,0,59,0,7.37,-0,-0,v South Africa,Ahmedabad,27/02/10
DE Bollinger (AUSTRALIA),9.2,0,58,2,6.21,29,28,v New Zealand,Napier,03/03/10
MJ Clarke (AUSTRALIA),2,0,8,0,4,-0,-0,v New Zealand,Napier,03/03/10
RJ Harris (AUSTRALIA),10,1,57,1,5.7,57,60,v New Zealand,Napier,03/03/10
NM Hauritz (AUSTRALIA),3,0,15,1,5,15,18,v New Zealand,Napier,03/03/10
JR Hopes (AUSTRALIA),6,0,40,1,6.66,40,36,v New Zealand,Napier,03/03/10
MG Johnson (AUSTRALIA),10,1,46,1,4.6,46,60,v New Zealand,Napier,03/03/10
SR Watson (AUSTRALIA),9,0,47,1,5.22,47,54,v New Zealand,Napier,03/03/10
DE Bollinger (AUSTRALIA),8,0,63,0,7.87,-0,-0,v New Zealand,Auckland,06/03/10
RJ Harris (AUSTRALIA),8.2,0,34,3,4.08,11.33,16.6,v New Zealand,Auckland,06/03/10
NM Hauritz (AUSTRALIA),7,0,41,1,5.85,41,42,v New Zealand,Auckland,06/03/10
JR Hopes (AUSTRALIA),6,0,29,0,4.83,-0,-0,v New Zealand,Auckland,06/03/10
MG Johnson (AUSTRALIA),9,1,51,4,5.66,12.75,13.5,v New Zealand,Auckland,06/03/10
SR Watson (AUSTRALIA),5,0,33,2,6.6,16.5,15,v New Zealand,Auckland,06/03/10
DE Bollinger (AUSTRALIA),8,1,39,1,4.87,39,48,v New Zealand,Hamilton,09/03/10
RJ Harris (AUSTRALIA),7,0,48,3,6.85,16,14,v New Zealand,Hamilton,09/03/10
NM Hauritz (AUSTRALIA),8,0,40,0,5,-0,-0,v New Zealand,Hamilton,09/03/10
JR Hopes (AUSTRALIA),8,0,49,0,6.12,-0,-0,v New Zealand,Hamilton,09/03/10
MG Johnson (AUSTRALIA),9.2,1,41,3,4.39,13.66,18.6,v New Zealand,Hamilton,09/03/10
SR Watson (AUSTRALIA),6,0,26,2,4.33,13,18,v New Zealand,Hamilton,09/03/10
DE Bollinger (AUSTRALIA),5,0,34,0,6.8,-0,-0,v New Zealand,Auckland,11/03/10
RJ Harris (AUSTRALIA),7,1,37,1,5.28,37,42,v New Zealand,Auckland,11/03/10
NM Hauritz (AUSTRALIA),8,0,46,3,5.75,15.33,16,v New Zealand,Auckland,11/03/10
JR Hopes (AUSTRALIA),10,0,38,2,3.8,19,30,v New Zealand,Auckland,11/03/10
MG Johnson (AUSTRALIA),8.1,0,40,2,4.89,20,24.5,v New Zealand,Auckland,11/03/10
SR Watson (AUSTRALIA),6,1,34,2,5.66,17,18,v New Zealand,Auckland,11/03/10
DE Bollinger (AUSTRALIA),9,2,37,1,4.11,37,54,v New Zealand,Wellington,13/03/10
NM Hauritz (AUSTRALIA),7,0,43,1,6.14,43,42,v New Zealand,Wellington,13/03/10
JR Hopes (AUSTRALIA),6,0,28,1,4.66,28,36,v New Zealand,Wellington,13/03/10
MG Johnson (AUSTRALIA),10,0,42,2,4.2,21,30,v New Zealand,Wellington,13/03/10
CJ McKay (AUSTRALIA),10,1,57,2,5.7,28.5,30,v New Zealand,Wellington,13/03/10
SR Watson (AUSTRALIA),8,1,31,1,3.87,31,48,v New Zealand,Wellington,13/03/10
AB Dinda (INDIA),7.2,0,49,0,6.68,-0,-0,v Zimbabwe,Bulawayo,28/05/10
RA Jadeja (INDIA),10,0,51,1,5.1,51,60,v Zimbabwe,Bulawayo,28/05/10
A Mishra (INDIA),10,0,47,1,4.7,47,60,v Zimbabwe,Bulawayo,28/05/10
YK Pathan (INDIA),4,0,28,0,7,-0,-0,v Zimbabwe,Bulawayo,28/05/10
RG Sharma (INDIA),1,0,5,0,5,-0,-0,v Zimbabwe,Bulawayo,28/05/10
R Vinay Kumar (INDIA),8,0,51,2,6.37,25.5,24,v Zimbabwe,Bulawayo,28/05/10
UT Yadav (INDIA),8,0,48,0,6,-0,-0,v Zimbabwe,Bulawayo,28/05/10
AB Dinda (INDIA),9.5,0,44,2,4.47,22,29.5,v Sri Lanka,Bulawayo,30/05/10
RA Jadeja (INDIA),10,1,49,2,4.9,24.5,30,v Sri Lanka,Bulawayo,30/05/10
A Mishra (INDIA),10,0,40,0,4,-0,-0,v Sri Lanka,Bulawayo,30/05/10
PP Ojha (INDIA),10,0,44,2,4.4,22,30,v Sri Lanka,Bulawayo,30/05/10
UT Yadav (INDIA),10,1,61,1,6.1,61,60,v Sri Lanka,Bulawayo,30/05/10
AB Dinda (INDIA),8.2,0,54,0,6.48,-0,-0,v Zimbabwe,Harare,03/06/10
RA Jadeja (INDIA),7,0,27,2,3.85,13.5,21,v Zimbabwe,Harare,03/06/10
A Mishra (INDIA),9,0,56,0,6.22,-0,-0,v Zimbabwe,Harare,03/06/10
PP Ojha (INDIA),10,0,35,1,3.5,35,60,v Zimbabwe,Harare,03/06/10
UT Yadav (INDIA),4,0,20,0,5,-0,-0,v Zimbabwe,Harare,03/06/10
R Ashwin (INDIA),10,0,50,2,5,25,30,v Sri Lanka,Harare,05/06/10
AB Dinda (INDIA),7.2,0,42,1,5.72,42,44,v Sri Lanka,Harare,05/06/10
RA Jadeja (INDIA),10,0,54,0,5.4,-0,-0,v Sri Lanka,Harare,05/06/10
PP Ojha (INDIA),10,0,43,1,4.3,43,60,v Sri Lanka,Harare,05/06/10
Pankaj Singh (INDIA),7,0,45,0,6.42,-0,-0,v Sri Lanka,Harare,05/06/10
YK Pathan (INDIA),4,0,32,0,8,-0,-0,v Sri Lanka,Harare,05/06/10
Harbhajan Singh (INDIA),7,0,32,1,4.57,32,42,v Bangladesh,Dambulla,16/06/10
RA Jadeja (INDIA),8,0,27,1,3.37,27,48,v Bangladesh,Dambulla,16/06/10
Z Khan (INDIA),5,1,29,0,5.8,-0,-0,v Bangladesh,Dambulla,16/06/10
P Kumar (INDIA),7,0,38,1,5.42,38,42,v Bangladesh,Dambulla,16/06/10
A Nehra (INDIA),4,0,28,2,7,14,12,v Bangladesh,Dambulla,16/06/10
V Sehwag (INDIA),2.5,0,6,4,2.11,1.5,4.2,v Bangladesh,Dambulla,16/06/10
RG Sharma (INDIA),1,0,5,1,5,5,6,v Bangladesh,Dambulla,16/06/10
DE Bollinger (AUSTRALIA),6,0,30,0,5,-0,-0,v Ireland,Dublin,17/06/10
RJ Harris (AUSTRALIA),7,0,40,2,5.71,20,21,v Ireland,Dublin,17/06/10
NM Hauritz (AUSTRALIA),10,0,40,2,4,20,30,v Ireland,Dublin,17/06/10
JR Hopes (AUSTRALIA),9,1,14,5,1.55,2.8,10.8,v Ireland,Dublin,17/06/10
CJ McKay (AUSTRALIA),6,0,39,0,6.5,-0,-0,v Ireland,Dublin,17/06/10
SR Watson (AUSTRALIA),4,0,26,1,6.5,26,24,v Ireland,Dublin,17/06/10
Harbhajan Singh (INDIA),8,0,47,2,5.87,23.5,24,v Pakistan,Dambulla,19/06/10
RA Jadeja (INDIA),10,0,43,1,4.3,43,60,v Pakistan,Dambulla,19/06/10
Z Khan (INDIA),9.3,0,41,2,4.31,20.5,28.5,v Pakistan,Dambulla,19/06/10
P Kumar (INDIA),10,1,53,3,5.3,17.66,20,v Pakistan,Dambulla,19/06/10
A Nehra (INDIA),9,0,58,0,6.44,-0,-0,v Pakistan,Dambulla,19/06/10
V Sehwag (INDIA),3,0,19,0,6.33,-0,-0,v Pakistan,Dambulla,19/06/10
AB Dinda (INDIA),5,1,39,0,7.8,-0,-0,v Sri Lanka,Dambulla,22/06/10
RA Jadeja (INDIA),6.3,0,29,0,4.46,-0,-0,v Sri Lanka,Dambulla,22/06/10
Z Khan (INDIA),7,1,42,2,6,21,21,v Sri Lanka,Dambulla,22/06/10
P Kumar (INDIA),8,2,30,1,3.75,30,48,v Sri Lanka,Dambulla,22/06/10
PP Ojha (INDIA),10,0,49,0,4.9,-0,-0,v Sri Lanka,Dambulla,22/06/10
RG Sharma (INDIA),1,0,9,0,9,-0,-0,v Sri Lanka,Dambulla,22/06/10
DE Bollinger (AUSTRALIA),9,0,48,0,5.33,-0,-0,v England,Southampton,22/06/10
RJ Harris (AUSTRALIA),9,2,42,3,4.66,14,18,v England,Southampton,22/06/10
NM Hauritz (AUSTRALIA),8,0,44,0,5.5,-0,-0,v England,Southampton,22/06/10
JR Hazlewood (AUSTRALIA),7,0,41,1,5.85,41,42,v England,Southampton,22/06/10
JR Hopes (AUSTRALIA),5,0,30,0,6,-0,-0,v England,Southampton,22/06/10
SR Watson (AUSTRALIA),8,1,55,2,6.87,27.5,24,v England,Southampton,22/06/10
Harbhajan Singh (INDIA),9,0,30,0,3.33,-0,-0,v Sri Lanka,Dambulla,24/06/10
RA Jadeja (INDIA),6.4,0,29,2,4.35,14.5,20,v Sri Lanka,Dambulla,24/06/10
Z Khan (INDIA),8,2,36,2,4.5,18,24,v Sri Lanka,Dambulla,24/06/10
V Kohli (INDIA),3,0,16,0,5.33,-0,-0,v Sri Lanka,Dambulla,24/06/10
P Kumar (INDIA),9,1,29,1,3.22,29,54,v Sri Lanka,Dambulla,24/06/10
A Nehra (INDIA),9,0,40,4,4.44,10,13.5,v Sri Lanka,Dambulla,24/06/10
DE Bollinger (AUSTRALIA),10,2,46,3,4.6,15.33,20,v England,Cardiff,24/06/10
NM Hauritz (AUSTRALIA),10,0,56,1,5.6,56,60,v England,Cardiff,24/06/10
JR Hopes (AUSTRALIA),5,0,30,1,6,30,30,v England,Cardiff,24/06/10
CJ McKay (AUSTRALIA),9.2,0,60,0,6.42,-0,-0,v England,Cardiff,24/06/10
SPD Smith (AUSTRALIA),8,0,40,1,5,40,48,v England,Cardiff,24/06/10
SR Watson (AUSTRALIA),3,0,9,0,3,-0,-0,v England,Cardiff,24/06/10
DE Bollinger (AUSTRALIA),10,3,20,3,2,6.66,20,v England,Manchester,27/06/10
MJ Clarke (AUSTRALIA),4,0,25,0,6.25,-0,-0,v England,Manchester,27/06/10
RJ Harris (AUSTRALIA),10,0,59,1,5.9,59,60,v England,Manchester,27/06/10
JR Hopes (AUSTRALIA),6.1,0,44,0,7.13,-0,-0,v England,Manchester,27/06/10
SPD Smith (AUSTRALIA),9,0,34,2,3.77,17,27,v England,Manchester,27/06/10
SW Tait (AUSTRALIA),10,1,28,3,2.8,9.33,20,v England,Manchester,27/06/10
DE Bollinger (AUSTRALIA),8,0,38,2,4.75,19,24,v England,The Oval,30/06/10
RJ Harris (AUSTRALIA),8.4,1,32,5,3.69,6.4,10.4,v England,The Oval,30/06/10
JR Hopes (AUSTRALIA),10,0,56,0,5.6,-0,-0,v England,The Oval,30/06/10
SPD Smith (AUSTRALIA),9,0,59,2,6.55,29.5,27,v England,The Oval,30/06/10
SW Tait (AUSTRALIA),7,2,23,1,3.28,23,42,v England,The Oval,30/06/10
DE Bollinger (AUSTRALIA),8,0,26,1,3.25,26,48,v England,Lord's,03/07/10
RJ Harris (AUSTRALIA),8,1,38,1,4.75,38,48,v England,Lord's,03/07/10
JR Hopes (AUSTRALIA),10,1,42,1,4.2,42,60,v England,Lord's,03/07/10
MEK Hussey (AUSTRALIA),2,0,22,0,11,-0,-0,v England,Lord's,03/07/10
SPD Smith (AUSTRALIA),10,0,49,2,4.9,24.5,30,v England,Lord's,03/07/10
SW Tait (AUSTRALIA),8.3,0,48,4,5.64,12,12.7,v England,Lord's,03/07/10
RA Jadeja (INDIA),9,0,63,0,7,-0,-0,v New Zealand,Dambulla,10/08/10
P Kumar (INDIA),9,3,43,3,4.77,14.33,18,v New Zealand,Dambulla,10/08/10
A Mithun (INDIA),4,0,24,0,6,-0,-0,v New Zealand,Dambulla,10/08/10
A Nehra (INDIA),9.5,1,47,4,4.77,11.75,14.7,v New Zealand,Dambulla,10/08/10
PP Ojha (INDIA),10,0,58,1,5.8,58,60,v New Zealand,Dambulla,10/08/10
V Sehwag (INDIA),3,0,17,0,5.66,-0,-0,v New Zealand,Dambulla,10/08/10
Yuvraj Singh (INDIA),4,0,23,1,5.75,23,24,v New Zealand,Dambulla,10/08/10
RA Jadeja (INDIA),10,2,34,2,3.4,17,30,v Sri Lanka,Dambulla,16/08/10
P Kumar (INDIA),8,2,20,2,2.5,10,24,v Sri Lanka,Dambulla,16/08/10
A Nehra (INDIA),9,0,39,1,4.33,39,54,v Sri Lanka,Dambulla,16/08/10
PP Ojha (INDIA),9.1,0,36,3,3.92,12,18.3,v Sri Lanka,Dambulla,16/08/10
V Sehwag (INDIA),1,0,5,0,5,-0,-0,v Sri Lanka,Dambulla,16/08/10
I Sharma (INDIA),9,1,32,2,3.55,16,27,v Sri Lanka,Dambulla,16/08/10
P Kumar (INDIA),7,1,44,0,6.28,-0,-0,v Sri Lanka,Dambulla,22/08/10
A Nehra (INDIA),5,0,39,0,7.8,-0,-0,v Sri Lanka,Dambulla,22/08/10
I Sharma (INDIA),3.1,0,15,2,4.73,7.5,9.5,v Sri Lanka,Dambulla,22/08/10
RA Jadeja (INDIA),3,0,21,1,7,21,18,v New Zealand,Dambulla,25/08/10
P Kumar (INDIA),8,2,34,3,4.25,11.33,16,v New Zealand,Dambulla,25/08/10
A Nehra (INDIA),6.1,1,10,2,1.62,5,18.5,v New Zealand,Dambulla,25/08/10
MM Patel (INDIA),7,1,21,3,3,7,14,v New Zealand,Dambulla,25/08/10
I Sharma (INDIA),6,1,27,1,4.5,27,36,v New Zealand,Dambulla,25/08/10
P Kumar (INDIA),10,0,72,1,7.2,72,60,v Sri Lanka,Dambulla,28/08/10
A Nehra (INDIA),10,0,60,1,6,60,60,v Sri Lanka,Dambulla,28/08/10
MM Patel (INDIA),9,1,43,2,4.77,21.5,27,v Sri Lanka,Dambulla,28/08/10
V Sehwag (INDIA),5,0,21,0,4.2,-0,-0,v Sri Lanka,Dambulla,28/08/10
I Sharma (INDIA),8,0,54,2,6.75,27,24,v Sri Lanka,Dambulla,28/08/10
Yuvraj Singh (INDIA),8,0,37,1,4.62,37,48,v Sri Lanka,Dambulla,28/08/10
R Ashwin (INDIA),9,0,34,1,3.77,34,54,v Australia,Visakhapatnam,20/10/10
JW Hastings (AUSTRALIA),10,1,44,2,4.4,22,30,v India,Visakhapatnam,20/10/10
NM Hauritz (AUSTRALIA),10,0,54,0,5.4,-0,-0,v India,Visakhapatnam,20/10/10
JR Hopes (AUSTRALIA),7,0,56,0,8,-0,-0,v India,Visakhapatnam,20/10/10
P Kumar (INDIA),9,1,51,0,5.66,-0,-0,v Australia,Visakhapatnam,20/10/10
CJ McKay (AUSTRALIA),10,0,55,3,5.5,18.33,20,v India,Visakhapatnam,20/10/10
A Nehra (INDIA),10,1,57,2,5.7,28.5,30,v Australia,Visakhapatnam,20/10/10
SK Raina (INDIA),3,0,18,0,6,-0,-0,v Australia,Visakhapatnam,20/10/10
SPD Smith (AUSTRALIA),3,0,23,0,7.66,-0,-0,v India,Visakhapatnam,20/10/10
MA Starc (AUSTRALIA),8.5,0,51,0,5.77,-0,-0,v India,Visakhapatnam,20/10/10
R Vinay Kumar (INDIA),9,1,71,0,7.88,-0,-0,v Australia,Visakhapatnam,20/10/10
Yuvraj Singh (INDIA),10,0,48,0,4.8,-0,-0,v Australia,Visakhapatnam,20/10/10
MJ Clarke (AUSTRALIA),1,0,2,0,2,-0,-0,v Sri Lanka,Melbourne,03/11/10
XJ Doherty (AUSTRALIA),10,1,46,4,4.6,11.5,15,v Sri Lanka,Melbourne,03/11/10
JW Hastings (AUSTRALIA),6,0,27,0,4.5,-0,-0,v Sri Lanka,Melbourne,03/11/10
MG Johnson (AUSTRALIA),10,1,68,1,6.8,68,60,v Sri Lanka,Melbourne,03/11/10
PM Siddle (AUSTRALIA),8,0,51,1,6.37,51,48,v Sri Lanka,Melbourne,03/11/10
SPD Smith (AUSTRALIA),3,0,8,0,2.66,-0,-0,v Sri Lanka,Melbourne,03/11/10
SR Watson (AUSTRALIA),6.2,0,39,0,6.15,-0,-0,v Sri Lanka,Melbourne,03/11/10
NM Hauritz (AUSTRALIA),9,0,48,1,5.33,48,54,v Sri Lanka,Sydney,05/11/10
MG Johnson (AUSTRALIA),7,0,43,0,6.14,-0,-0,v Sri Lanka,Sydney,05/11/10
CJ McKay (AUSTRALIA),8,1,42,0,5.25,-0,-0,v Sri Lanka,Sydney,05/11/10
PM Siddle (AUSTRALIA),7.1,1,31,0,4.32,-0,-0,v Sri Lanka,Sydney,05/11/10
SPD Smith (AUSTRALIA),2,0,10,0,5,-0,-0,v Sri Lanka,Sydney,05/11/10
SR Watson (AUSTRALIA),8,0,34,2,4.25,17,24,v Sri Lanka,Sydney,05/11/10
XJ Doherty (AUSTRALIA),4,0,17,0,4.25,-0,-0,v Sri Lanka,Brisbane,07/11/10
MG Johnson (AUSTRALIA),5,0,17,0,3.4,-0,-0,v Sri Lanka,Brisbane,07/11/10
CJ McKay (AUSTRALIA),9,1,33,5,3.66,6.6,10.8,v Sri Lanka,Brisbane,07/11/10
MA Starc (AUSTRALIA),9,0,27,4,3,6.75,13.5,v Sri Lanka,Brisbane,07/11/10
SR Watson (AUSTRALIA),5,0,11,1,2.2,11,30,v Sri Lanka,Brisbane,07/11/10
R Ashwin (INDIA),10,1,50,3,5,16.66,20,v New Zealand,Guwahati,28/11/10
A Nehra (INDIA),9,0,44,1,4.88,44,54,v New Zealand,Guwahati,28/11/10
