team,score,overs,rpo,innings,result,opposition,ground,date,toss
Bangladesh,93,37.5,2.45,1,lost,v New Zealand,Queenstown,2007-12-31,lost
New Zealand,95/0,6,15.83,2,won,v Bangladesh,Queenstown,2007-12-31,won
West Indies,263/9,50,5.26,1,lost,v South Africa,Durban,2008-01-02,won
South Africa,266/5,47.5,5.56,2,won,v West Indies,Durban,2008-01-02,lost
New Zealand,402/2,50,8.04,1,won,v Ireland,Aberdeen,2008-01-07,lost
Ireland,112,28.4,3.9,2,lost,v New Zealand,Aberdeen,2008-01-07,won
Canada,276/9,50,5.52,1,won,v Bermuda,King City (NW),2008-01-07,lost
Bermuda,199/7,50,3.98,2,lost,v Canada,King City (NW),2008-01-07,won
West Indies,175,35.5,4.88,1,lost,v South Africa,Centurion,2008-01-20,lost
South Africa,176/4,34,5.17,2,won,v West Indies,Centurion,2008-01-20,won
Pakistan,347/5,50,6.94,1,won,v Zimbabwe,Karachi,2008-01-21,lost
Zimbabwe,243/7,50,4.86,2,lost,v Pakistan,Karachi,2008-01-21,won
Zimbabwe,238/8,50,4.76,1,lost,v Pakistan,Hyderabad (Sind),2008-01-24,won
Pakistan,239/5,46.2,5.15,2,won,v Zimbabwe,Hyderabad (Sind),2008-01-24,lost
South Africa,255/9,50,5.1,1,won,v West Indies,Cape Town,2008-01-25,won
West Indies,169,48.2,3.49,2,lost,v South Africa,Cape Town,2008-01-25,lost
Pakistan,272/9,50,5.44,1,won,v Zimbabwe,Multan,2008-01-27,won
Zimbabwe,235/7,50,4.7,2,lost,v Pakistan,Multan,2008-01-27,lost
West Indies,252/7,50,5.04,1,lost,v South Africa,Port Elizabeth,2008-01-27,won
South Africa,256/3,48.4,5.26,2,won,v West Indies,Port Elizabeth,2008-01-27,lost
Zimbabwe,244,49.5,4.89,1,lost,v Pakistan,Faisalabad,2008-01-30,won
Pakistan,245/3,47,5.21,2,won,v Zimbabwe,Faisalabad,2008-01-30,lost
Zimbabwe,181,45.4,3.96,1,lost,v Pakistan,Sheikhupura,2008-02-02,won
Pakistan,187/3,31,6.03,2,won,v Zimbabwe,Sheikhupura,2008-02-02,lost
Australia,239/8,50,4.78,1,lost,v India,Sydney,2008-02-03,won
India,242/4,45.5,5.28,2,won,v Australia,Sydney,2008-02-03,lost
Ireland,210/8,50,4.2,1,lost,v Scotland,Aberdeen,2008-02-07,won
Scotland,211/5,47.3,4.44,2,won,v Ireland,Aberdeen,2008-02-07,lost
India,308/7,50,6.16,1,lost,v Pakistan,Karachi,2008-02-07,won
Pakistan,309/2,45.3,6.79,2,won,v India,Karachi,2008-02-07,lost
Kenya,222/9,50,4.44,1,lost,v South Africa,Kimberley,2008-02-11,won
South Africa,224/3,35.3,6.3,2,won,v Kenya,Kimberley,2008-02-11,lost
New Zealand,234/9,50,4.68,1,lost,v England,Auckland,2008-02-15,lost
England,229/4,44,5.2,2,won,v New Zealand,Auckland,2008-02-15,won
Australia,236,49.4,4.75,1,won,v Sri Lanka,Perth,2008-02-15,won
Sri Lanka,173,45.3,3.8,2,lost,v Australia,Perth,2008-02-15,lost
Australia,203/9,50,4.06,1,won,v India,Adelaide,2008-02-17,won
India,153,41.2,3.7,2,lost,v Australia,Adelaide,2008-02-17,lost
Sri Lanka,238/6,50,4.76,1,lost,v India,Adelaide,2008-02-19,won
India,239/8,49.1,4.86,2,won,v Sri Lanka,Adelaide,2008-02-19,lost
England,340/6,50,6.8,1,tied,v New Zealand,Napier,2008-02-20,lost
New Zealand,340/7,50,6.8,2,tied,v England,Napier,2008-02-20,won
Australia,184/7,50,3.68,1,won,v Sri Lanka,Melbourne,2008-02-22,lost
Sri Lanka,77/4,29.3,2.61,2,lost,v Australia,Melbourne,2008-02-22,won
England,242/7,50,4.84,1,lost,v New Zealand,Christchurch,2008-02-23,lost
New Zealand,213/6,37,5.75,2,won,v England,Christchurch,2008-02-23,won
Australia,317/7,50,6.34,1,won,v India,Sydney,2008-02-24,won
India,299,49.1,6.08,2,lost,v Australia,Sydney,2008-02-24,lost
Sri Lanka,179,47.1,3.79,1,lost,v India,Hobart,2008-02-26,lost
India,180/3,32.2,5.56,2,won,v Sri Lanka,Hobart,2008-02-26,won
Sri Lanka,221,50,4.42,1,won,v Australia,Melbourne,2008-02-29,won
Australia,208,48.1,4.31,2,lost,v Sri Lanka,Melbourne,2008-02-29,lost
India,194,45,4.31,1,n/r,v Australia,Brisbane,2008-03-02,won
Australia,51/3,7.2,6.95,2,n/r,v India,Brisbane,2008-03-02,lost
West Indies,295/7,50,5.9,1,lost,v South Africa,Johannesburg,2008-03-02,lost
South Africa,211/2,28.5,7.31,2,won,v West Indies,Johannesburg,2008-03-02,won
Scotland,101,33.2,3.03,1,lost,v New Zealand,Aberdeen,2008-03-07,lost
New Zealand,102/2,14.4,6.95,2,won,v Scotland,Aberdeen,2008-03-07,won
Sri Lanka,308/8,50,6.16,1,lost,v India,Karachi,2008-03-07,won
India,310/4,46.5,6.61,2,won,v Sri Lanka,Karachi,2008-03-07,lost
Bangladesh,117,36.1,3.23,1,lost,v Australia,Darwin,2008-03-09,won
Australia,118/2,22.4,5.2,2,won,v Bangladesh,Darwin,2008-03-09,lost
England,DNB,0,0,0,n/r,v South Africa,Cardiff,2008-03-09,won
South Africa,06/01/19,3,2,1,n/r,v England,Cardiff,2008-03-09,lost
Bangladesh,143,42.5,3.33,1,lost,v South Africa,Dhaka,2008-03-14,won
South Africa,147/3,34.2,4.28,2,won,v Bangladesh,Dhaka,2008-03-14,lost
Ireland,185/7,50,3.7,1,lost,v Bangladesh,Dhaka,2008-03-18,won
Bangladesh,186/2,39.5,4.66,2,won,v Ireland,Dhaka,2008-03-18,lost
Bangladesh,246/8,50,4.92,1,won,v Ireland,Dhaka,2008-03-20,won
Ireland,162,38.3,4.2,2,lost,v Bangladesh,Dhaka,2008-03-20,lost
Bangladesh,293/7,50,5.86,1,won,v Ireland,Dhaka,2008-03-22,won
Ireland,214,45.3,4.7,2,lost,v Bangladesh,Dhaka,2008-03-22,lost
India,258/9,50,5.16,1,won,v Australia,Brisbane,2008-04-03,won
Australia,249,49.4,5.01,2,lost,v India,Brisbane,2008-04-03,lost
Bangladesh,115,38.2,3,1,lost,v Pakistan,Karachi,2008-04-07,won
Pakistan,116/0,19.4,5.89,2,won,v Bangladesh,Karachi,2008-04-07,lost
Australia,282/8,50,5.64,1,won,v West Indies,Basseterre,2008-04-07,lost
West Indies,281/6,50,5.62,2,lost,v Australia,Basseterre,2008-04-07,won
Pakistan,308/8,50,6.16,1,won,v Bangladesh,Lahore,2008-04-13,won
Bangladesh,285/7,50,5.7,2,lost,v Pakistan,Lahore,2008-04-13,lost
Sri Lanka,257/8,50,5.14,1,n/r,v West Indies,Gros Islet,2008-04-15,lost
West Indies,81/2,18.2,4.41,2,n/r,v Sri Lanka,Gros Islet,2008-04-15,won
Bangladesh,210,49.1,4.27,1,lost,v Pakistan,Multan,2008-04-16,won
Pakistan,212/3,44.3,4.76,2,won,v Bangladesh,Multan,2008-04-16,lost
Pakistan,329/9,50,6.58,1,won,v Bangladesh,Karachi,2008-04-19,won
Bangladesh,179,40.5,4.38,2,lost,v Pakistan,Karachi,2008-04-19,lost
Sri Lanka,DNB,0,0,0,n/r,v India,Brisbane,2008-05-02,lost
India,267/4,50,5.34,1,n/r,v Sri Lanka,Brisbane,2008-05-02,won
Sri Lanka,273,49.5,5.47,1,won,v India,Karachi,2008-06-07,lost
India,173,39.3,4.37,2,lost,v Sri Lanka,Karachi,2008-06-07,won
Australia,341/8,50,6.82,1,won,v West Indies,Basseterre,2008-06-07,won
West Indies,172,39.5,4.31,2,lost,v Australia,Basseterre,2008-06-07,lost
Australia,198/5,50,3.96,1,won,v Bangladesh,Darwin,2008-06-09,won
Bangladesh,125,29.5,4.18,2,lost,v Australia,Darwin,2008-06-09,lost
Pakistan,315/3,50,6.3,1,won,v India,Dhaka,2008-06-14,won
India,290,48.2,6,2,lost,v Pakistan,Dhaka,2008-06-14,lost
England,307/5,50,6.14,1,won,v New Zealand,Chester-le-Street,2008-06-15,lost
New Zealand,193,42.5,4.5,2,lost,v England,Chester-le-Street,2008-06-15,won
England,162,24,6.75,1,n/r,v New Zealand,Birmingham,2008-06-18,lost
New Zealand,127/2,19,6.68,2,n/r,v England,Birmingham,2008-06-18,won
New Zealand,182,50,3.64,1,won,v England,Bristol,2008-06-21,lost
England,160,46.2,3.45,2,lost,v New Zealand,Bristol,2008-06-21,won
Bangladesh,300/8,50,6,1,won,v U.A.E.,Lahore,2008-06-24,won
U.A.E.,204,45.4,4.46,2,lost,v Bangladesh,Lahore,2008-06-24,lost
Pakistan,288/9,50,5.76,1,won,v Hong Kong,Karachi,2008-06-24,won
Hong Kong,133,37.2,3.56,2,lost,v Pakistan,Karachi,2008-06-24,lost
Australia,273/8,50,5.46,1,won,v West Indies,Kingstown,2008-06-24,lost
West Indies,189,39.5,4.74,2,lost,v Australia,Kingstown,2008-06-24,won
England,245,49.4,4.93,1,lost,v New Zealand,The Oval,2008-06-25,lost
New Zealand,246/9,50,4.92,2,won,v England,The Oval,2008-06-25,won
Sri Lanka,357/9,50,7.14,1,won,v Bangladesh,Lahore,2008-06-25,lost
Bangladesh,226/7,50,4.52,2,lost,v Sri Lanka,Lahore,2008-06-25,won
India,374/4,50,7.48,1,won,v Hong Kong,Karachi,2008-06-25,won
Hong Kong,118,36.5,3.2,2,lost,v India,Karachi,2008-06-25,lost
Pakistan,299/4,50,5.98,1,lost,v India,Karachi,2008-06-26,won
India,301/4,42.1,7.13,2,won,v Pakistan,Karachi,2008-06-26,lost
Sri Lanka,290/9,50,5.8,1,won,v U.A.E.,Lahore,2008-06-26,won
U.A.E.,148,36.3,4.05,2,lost,v Sri Lanka,Lahore,2008-06-26,lost
Australia,213/5,50,4.26,1,won,v West Indies,St George's,2008-06-27,won
West Indies,140/8,41,3.41,2,lost,v Australia,St George's,2008-06-27,lost
New Zealand,266/5,50,5.32,1,won,v England,Lord's,2008-06-28,lost
England,215,47.5,4.49,2,lost,v New Zealand,Lord's,2008-06-28,won
Bangladesh,283/6,50,5.66,1,lost,v India,Karachi,2008-06-28,won
India,284/3,43.2,6.55,2,won,v Bangladesh,Karachi,2008-06-28,lost
Canada,155/9,36,4.3,1,lost,v Bermuda,King City (NW),2008-06-28,won
Bermuda,158/7,35.3,4.45,2,won,v Canada,King City (NW),2008-06-28,lost
Sri Lanka,302/7,50,6.04,1,won,v Pakistan,Karachi,2008-06-29,lost
Pakistan,238/9,50,4.76,2,lost,v Sri Lanka,Karachi,2008-06-29,won
West Indies,223,48,4.64,1,lost,v Australia,St George's,2008-06-29,lost
Australia,227/3,40.3,5.6,2,won,v West Indies,St George's,2008-06-29,won
Bermuda,201/8,50,4.02,1,won,v Canada,King City (NW),2008-06-29,lost
Canada,184,45.3,4.04,2,lost,v Bermuda,King City (NW),2008-06-29,won
Sri Lanka,332/8,50,6.64,1,won,v Bangladesh,Karachi,2008-06-30,won
Bangladesh,174,38.3,4.51,2,lost,v Sri Lanka,Karachi,2008-06-30,lost
South Africa,283/8,50,5.66,1,won,v Bangladesh,Potchefstroom,2008-07-11,won
Bangladesh,222,44.2,5,2,lost,v South Africa,Potchefstroom,2008-07-11,lost
Netherlands,142,47.1,3.01,1,lost,v Ireland,Dublin,2008-07-28,lost
Ireland,143/3,29,4.93,2,won,v Netherlands,Dublin,2008-07-28,won
Netherlands,117,39.2,2.97,1,lost,v Scotland,Dublin,2008-07-29,won
Scotland,120/4,22.2,5.37,2,won,v Netherlands,Dublin,2008-07-29,lost
Scotland,152/9,35,4.34,1,lost,v Ireland,Dublin,2008-07-31,lost
Ireland,129/3,23.5,5.41,2,won,v Scotland,Dublin,2008-07-31,won
Australia,253/6,50,5.06,1,won,v Sri Lanka,Sydney,2008-08-02,won
Sri Lanka,125,31.3,3.96,2,lost,v Australia,Sydney,2008-08-02,lost
Pakistan,322/5,50,6.44,1,won,v Bangladesh,Lahore,2008-08-04,won
Bangladesh,129,29.5,4.32,2,lost,v Pakistan,Lahore,2008-08-04,lost
Pakistan,233,39.3,5.89,1,won,v Bangladesh,Dhaka,2008-08-06,lost
Bangladesh,163/8,40,4.07,2,lost,v Pakistan,Dhaka,2008-08-06,won
Bermuda,165/7,40,4.12,1,lost,v Netherlands,Amstelveen,2008-08-08,lost
Netherlands,174/4,36.1,4.81,2,won,v Bermuda,Amstelveen,2008-08-08,won
India,146,46,3.17,1,lost,v Sri Lanka,Dambulla,2008-08-18,won
Sri Lanka,147/2,34.5,4.22,2,won,v India,Dambulla,2008-08-18,lost
Scotland,156/9,44,3.54,1,n/r,v England,Edinburgh,2008-08-18,lost
England,10/0,2.3,4,2,n/r,v Scotland,Edinburgh,2008-08-18,won
Canada,260/7,50,5.2,1,won,v Bermuda,King City (NW),2008-08-18,lost
Bermuda,235/8,50,4.7,2,lost,v Canada,King City (NW),2008-08-18,won
Sri Lanka,142,38.3,3.68,1,lost,v India,Dambulla,2008-08-20,lost
India,143/7,39.4,3.6,2,won,v Sri Lanka,Dambulla,2008-08-20,won
Bermuda,158/9,50,3.16,1,lost,v West Indies,King City (NW),2008-08-20,lost
West Indies,159/4,31.5,4.99,2,won,v Bermuda,King City (NW),2008-08-20,won
Kenya,118/5,24,4.91,1,lost,v Netherlands,Rotterdam,2008-08-21,lost
Netherlands,121/4,23,5.26,2,won,v Kenya,Rotterdam,2008-08-21,won
England,275/4,50,5.5,1,won,v South Africa,Leeds,2008-08-22,won
South Africa,255,49.4,5.13,2,lost,v England,Leeds,2008-08-22,lost
West Indies,303/4,50,6.06,1,won,v Canada,King City (NW),2008-08-22,won
Canada,254,47.2,5.36,2,lost,v West Indies,King City (NW),2008-08-22,lost
India,237/9,50,4.74,1,won,v Sri Lanka,Colombo (RPS),2008-08-24,won
Sri Lanka,204,49,4.16,2,lost,v India,Colombo (RPS),2008-08-24,lost
Ireland,148/9,50,2.96,1,won,v Kenya,Belfast,2008-08-24,lost
Kenya,115,39,2.94,2,lost,v Ireland,Belfast,2008-08-24,won
Canada,179,46.5,3.82,1,lost,v West Indies,King City (NW),2008-08-24,lost
West Indies,181/3,27.3,6.58,2,won,v Canada,King City (NW),2008-08-24,won
Kenya,DNB,0,0,0,n/r,v Ireland,Belfast,2008-08-25,won
Ireland,18/02/19,8,2.25,1,n/r,v Kenya,Belfast,2008-08-25,lost
South Africa,83,23,3.6,1,lost,v England,Nottingham,2008-08-26,won
England,85/0,14.1,6,2,won,v South Africa,Nottingham,2008-08-26,lost
India,258,49.4,5.19,1,won,v Sri Lanka,Colombo (RPS),2008-08-27,won
Sri Lanka,212,46.3,4.55,2,lost,v India,Colombo (RPS),2008-08-27,lost
Sri Lanka,227/6,50,4.54,1,won,v India,Colombo (RPS),2008-08-29,won
India,103,26.3,3.88,2,lost,v Sri Lanka,Colombo (RPS),2008-08-29,lost
England,296/7,50,5.92,1,won,v South Africa,The Oval,2008-08-29,lost
South Africa,170,42.4,3.98,2,lost,v England,The Oval,2008-08-29,won
Australia,254/8,50,5.08,1,won,v Bangladesh,Darwin,2008-08-30,lost
Bangladesh,74,27.4,2.67,2,lost,v Australia,Darwin,2008-08-30,won
South Africa,183/6,32.1,5.68,1,lost,v England,Lord's,2008-08-31,lost
England,137/3,17.4,7.75,2,won,v South Africa,Lord's,2008-08-31,won
England,130,49.4,2.61,1,lost,v New Zealand,Wellington,2008-09-02,won
New Zealand,131/4,30,4.36,2,won,v England,Wellington,2008-09-02,lost
Bangladesh,178,48.2,3.68,1,lost,v South Africa,Chattogram,2008-09-03,won
South Africa,180/1,36.5,4.88,2,won,v Bangladesh,Chattogram,2008-09-03,lost
New Zealand,201/9,50,4.02,1,lost,v Bangladesh,Dhaka,2008-09-10,lost
Bangladesh,202/3,45.3,4.43,2,won,v New Zealand,Dhaka,2008-09-10,won
South Africa,358/4,50,7.16,1,won,v Bangladesh,Benoni,2008-09-11,lost
Bangladesh,230,49.2,4.66,2,lost,v South Africa,Benoni,2008-09-11,won
Australia,159,43.1,3.68,1,lost,v India,Melbourne,2008-10-02,won
India,160/5,45.5,3.49,2,won,v Australia,Melbourne,2008-10-02,lost
Sri Lanka,235/7,50,4.7,1,lost,v West Indies,Port of Spain,2008-10-04,lost
West Indies,236/9,50,4.72,2,won,v Sri Lanka,Port of Spain,2008-10-04,won
India,330/8,50,6.6,1,won,v Pakistan,Dhaka,2008-10-06,won
Pakistan,190,35.4,5.32,2,lost,v India,Dhaka,2008-10-06,lost
New Zealand,249/7,50,4.98,1,won,v Bangladesh,Chattogram,2008-10-14,won
Bangladesh,170/8,50,3.4,2,lost,v New Zealand,Chattogram,2008-10-14,lost
Zimbabwe,303/8,50,6.06,1,won,v Ireland,Nairobi (Gym),2008-10-17,won
Ireland,147,46.1,3.18,2,lost,v Zimbabwe,Nairobi (Gym),2008-10-17,lost
Ireland,285/6,47,6.06,1,won,v Kenya,Nairobi (Gym),2008-10-18,won
Kenya,199,44,4.52,2,lost,v Ireland,Nairobi (Gym),2008-10-18,lost
Kenya,285/9,50,5.7,1,won,v Zimbabwe,Nairobi (Gym),2008-10-19,won
Zimbabwe,190,38.1,4.97,2,lost,v Kenya,Nairobi (Gym),2008-10-19,lost
South Africa,336/7,50,6.72,1,won,v Kenya,Bloemfontein,2008-10-31,won
Kenya,177,49.1,3.6,2,lost,v South Africa,Bloemfontein,2008-10-31,lost
Bangladesh,225/8,48.2,4.65,1,lost,v Pakistan,Faisalabad,2008-11-04,won
Pakistan,160/3,23.2,6.85,2,won,v Bangladesh,Faisalabad,2008-11-04,lost
New Zealand,212/9,50,4.24,1,won,v Bangladesh,Dhaka,2008-11-10,lost
Bangladesh,137,42.4,3.21,2,lost,v New Zealand,Dhaka,2008-11-10,won
India,387/5,50,7.74,1,won,v England,Rajkot,2008-11-14,lost
England,229,37.4,6.07,2,lost,v India,Rajkot,2008-11-14,won
Pakistan,232,49,4.73,1,won,v West Indies,Abu Dhabi,2008-11-14,won
West Indies,208,48.5,4.25,2,lost,v Pakistan,Abu Dhabi,2008-11-14,lost
Pakistan,273/6,50,5.46,1,won,v West Indies,Abu Dhabi,2008-11-16,won
West Indies,242,46.3,5.2,2,lost,v Pakistan,Abu Dhabi,2008-11-16,lost
India,292/9,50,5.84,1,won,v England,Indore,2008-11-17,won
England,238,47,5.06,2,lost,v India,Indore,2008-11-17,lost
England,240,48.4,4.93,1,lost,v India,Kanpur,2008-11-20,won
India,198/5,40,4.95,2,won,v England,Kanpur,2008-11-20,lost
Zimbabwe,127,31,4.09,1,lost,v Sri Lanka,Harare,2008-11-20,lost
Sri Lanka,130/4,33.2,3.9,2,won,v Zimbabwe,Harare,2008-11-20,won
Zimbabwe,67,31,2.16,1,lost,v Sri Lanka,Harare,2008-11-22,won
Sri Lanka,68/1,17.4,3.84,2,won,v Zimbabwe,Harare,2008-11-22,lost
India,166/4,22,7.54,1,won,v England,Bengaluru,2008-11-23,lost
England,178/8,22,8.09,2,lost,v India,Bengaluru,2008-11-23,won
Sri Lanka,171/7,28,6.1,1,won,v Zimbabwe,Harare,2008-11-24,lost
Zimbabwe,166/7,28,5.92,2,lost,v Sri Lanka,Harare,2008-11-24,won
England,270/4,50,5.4,1,lost,v India,Cuttack,2008-11-26,lost
India,273/4,43.4,6.25,2,won,v England,Cuttack,2008-11-26,won
Zimbabwe,146,46.3,3.13,1,lost,v Sri Lanka,Harare,2008-11-28,lost
Sri Lanka,150/8,47.3,3.15,2,won,v Zimbabwe,Harare,2008-11-28,won
Sri Lanka,152,48.5,3.11,1,won,v Zimbabwe,Harare,2008-11-30,lost
Zimbabwe,133,44,3.02,2,lost,v Sri Lanka,Harare,2008-11-30,won
India,195/5,29,6.72,1,lost,v Sri Lanka,Canberra,2008-12-02,lost
Sri Lanka,154/2,19,8.1,2,won,v India,Canberra,2008-12-02,won
England,158,35.1,4.49,1,lost,v New Zealand,Hamilton,2008-12-02,lost
New Zealand,165/0,18.1,9.08,2,won,v England,Hamilton,2008-12-02,won
Bangladesh,173,48.2,3.57,1,lost,v South Africa,Dhaka,2008-12-03,won
South Africa,179/3,48.1,3.71,2,won,v Bangladesh,Dhaka,2008-12-03,lost
Sri Lanka,112/5,30.3,3.67,1,lost,v West Indies,Port of Spain,2008-12-04,lost
West Indies,125/3,20.3,6.09,2,won,v Sri Lanka,Port of Spain,2008-12-04,won
Bangladesh,222,49.5,4.45,1,lost,v India,Dhaka,2008-12-06,won
India,223/3,35.1,6.34,2,won,v Bangladesh,Dhaka,2008-12-06,lost
Kenya,141/8,35,4.02,1,n/r,v Scotland,Ayr,2008-12-08,lost
Scotland,31/01/19,8.1,3.79,2,n/r,v Kenya,Ayr,2008-12-08,won
West Indies,294/9,50,5.88,1,lost,v Pakistan,Abu Dhabi,2008-12-11,won
Pakistan,295/6,49.5,5.91,2,won,v West Indies,Abu Dhabi,2008-12-11,lost
New Zealand,DNB,0,0,0,n/r,v West Indies,Queenstown,2008-12-31,won
West Indies,129/5,35.4,3.61,1,n/r,v New Zealand,Queenstown,2008-12-31,lost
Australia,181,48.4,3.71,1,lost,v New Zealand,Perth,2009-01-02,won
New Zealand,182/8,50,3.64,2,won,v Australia,Perth,2009-01-02,lost
Zimbabwe,285/8,50,5.7,1,won,v Kenya,Nairobi (Gym),2009-01-02,won
Kenya,219,49,4.46,2,lost,v Zimbabwe,Nairobi (Gym),2009-01-02,lost
Scotland,232/7,50,4.64,1,lost,v Ireland,Benoni,2009-01-04,lost
Ireland,233/3,37.4,6.18,2,won,v Scotland,Benoni,2009-01-04,won
Kenya,247/8,50,4.94,1,lost,v Netherlands,Potchefstroom,2009-01-04,won
Netherlands,248/3,46.2,5.35,2,won,v Kenya,Potchefstroom,2009-01-04,lost
Pakistan,197,48.4,4.04,1,lost,v Australia,Abu Dhabi,2009-01-05,won
Australia,200/2,44.2,4.51,2,won,v Pakistan,Abu Dhabi,2009-01-05,lost
Pakistan,168,47,3.57,1,lost,v Sri Lanka,Dambulla,2009-01-08,lost
Sri Lanka,169/4,43.4,3.87,2,won,v Pakistan,Dambulla,2009-01-08,won
Netherlands,231/7,50,4.62,1,lost,v Afghanistan,Amstelveen,2009-01-09,won
Afghanistan,232/4,46.4,4.97,2,won,v Netherlands,Amstelveen,2009-01-09,lost
West Indies,293/9,50,5.86,1,lost,v New Zealand,Napier,2009-01-13,lost
New Zealand,211/5,35,6.02,2,won,v West Indies,Napier,2009-01-13,won
Sri Lanka,147,30.3,4.81,1,lost,v Bangladesh,Dhaka,2009-01-14,lost
Bangladesh,151/5,23.5,6.33,2,won,v Sri Lanka,Dhaka,2009-01-14,won
Bangladesh,152,49.4,3.06,1,lost,v Sri Lanka,Dhaka,2009-01-16,lost
Sri Lanka,153/8,48.1,3.17,2,won,v Bangladesh,Dhaka,2009-01-16,won
Australia,271/8,50,5.42,1,lost,v South Africa,Melbourne,2009-01-16,won
South Africa,272/7,49.3,5.49,2,won,v Australia,Melbourne,2009-01-16,lost
Australia,249/9,50,4.98,1,won,v South Africa,Hobart,2009-01-18,lost
South Africa,244/6,50,4.88,2,lost,v Australia,Hobart,2009-01-18,won
Bangladesh,124,48.1,2.57,1,lost,v Zimbabwe,Dhaka,2009-01-19,won
Zimbabwe,127/8,49.2,2.57,2,won,v Bangladesh,Dhaka,2009-01-19,lost
Sri Lanka,219,45.2,4.83,1,lost,v Pakistan,Karachi,2009-01-20,won
Pakistan,220/2,45.5,4.8,2,won,v Sri Lanka,Karachi,2009-01-20,lost
Zimbabwe,160/9,50,3.2,1,lost,v Bangladesh,Dhaka,2009-01-21,lost
Bangladesh,164/4,44.5,3.65,2,won,v Zimbabwe,Dhaka,2009-01-21,won
Sri Lanka,290/8,50,5.8,1,won,v Pakistan,Karachi,2009-01-21,lost
Pakistan,161,34.5,4.62,2,lost,v Sri Lanka,Karachi,2009-01-21,won
Zimbabwe,119/9,37,3.21,1,lost,v Bangladesh,Dhaka,2009-01-23,lost
Bangladesh,121/4,32.3,3.72,2,won,v Zimbabwe,Dhaka,2009-01-23,won
Australia,269,49.2,5.45,1,lost,v South Africa,Sydney,2009-01-23,won
South Africa,270/7,46.3,5.8,2,won,v Australia,Sydney,2009-01-23,lost
Sri Lanka,309/5,50,6.18,1,won,v Pakistan,Lahore,2009-01-24,won
Pakistan,75,22.5,3.28,2,lost,v Sri Lanka,Lahore,2009-01-24,lost
Australia,222,48,4.62,1,lost,v South Africa,Adelaide,2009-01-26,won
South Africa,223/2,38.1,5.84,2,won,v Australia,Adelaide,2009-01-26,lost
Zimbabwe,306/7,50,6.12,1,won,v Kenya,Mombasa,2009-01-27,won
Kenya,197,46.2,4.25,2,lost,v Zimbabwe,Mombasa,2009-01-27,lost
Sri Lanka,246/7,50,4.92,1,lost,v India,Dambulla,2009-01-28,lost
India,247/4,48.1,5.12,2,won,v Sri Lanka,Dambulla,2009-01-28,won
Zimbabwe,351/7,50,7.02,1,won,v Kenya,Mombasa,2009-01-29,won
Kenya,200,45.1,4.42,2,lost,v Zimbabwe,Mombasa,2009-01-29,lost
South Africa,288/6,50,5.76,1,won,v Australia,Perth,2009-01-30,won
Australia,249,49,5.08,2,lost,v South Africa,Perth,2009-01-30,lost
Kenya,234,49.3,4.72,1,lost,v Zimbabwe,Nairobi (Gym),2009-01-31,won
Zimbabwe,236/6,48.2,4.88,2,won,v Kenya,Nairobi (Gym),2009-01-31,lost
India,256/9,50,5.12,1,won,v Sri Lanka,Colombo (RPS),2009-01-31,won
Sri Lanka,241,49.2,4.88,2,lost,v India,Colombo (RPS),2009-01-31,lost
England,257,47.4,5.39,1,lost,v Australia,Centurion,2009-02-10,won
Australia,258/1,41.5,6.16,2,won,v England,Centurion,2009-02-10,lost
Australia,250,49.2,5.06,1,won,v India,Mohali,2009-02-11,lost
India,226,46.4,4.84,2,lost,v Australia,Mohali,2009-02-11,won
Australia,168/4,22,7.63,1,n/r,v New Zealand,Brisbane,2009-02-13,lost
New Zealand,123/6,14,8.78,2,n/r,v Australia,Brisbane,2009-02-13,won
New Zealand,152/8,28,5.42,1,lost,v West Indies,Christchurch,2009-03-01,lost
West Indies,158/5,27.5,5.67,2,won,v New Zealand,Christchurch,2009-03-01,won
India,363/5,50,7.26,1,won,v Sri Lanka,Colombo (RPS),2009-03-02,won
Sri Lanka,216,41.4,5.18,2,lost,v India,Colombo (RPS),2009-03-02,lost
India,273/4,38,7.18,1,won,v New Zealand,Napier,2009-03-03,won
New Zealand,162/9,28,5.78,2,lost,v India,Napier,2009-03-03,lost
Australia,286/7,50,5.72,1,won,v South Africa,Durban,2009-03-04,won
South Africa,145,33.1,4.37,2,lost,v Australia,Durban,2009-03-04,lost
England,172/5,29,5.93,1,won,v West Indies,Gros Islet,2009-03-04,lost
West Indies,146,28,5.21,2,lost,v England,Gros Islet,2009-03-04,won
Australia,250/4,50,5,1,lost,v Pakistan,Abu Dhabi,2009-03-05,won
Pakistan,254/3,47,5.4,2,won,v Australia,Abu Dhabi,2009-03-05,lost
West Indies,186/7,27,6.88,1,lost,v India,Gros Islet,2009-03-07,lost
India,159/4,21.5,7.28,2,won,v West Indies,Gros Islet,2009-03-07,won
Pakistan,288/8,50,5.76,1,lost,v Sri Lanka,Dambulla,2009-03-08,lost
Sri Lanka,289/4,46.3,6.21,2,won,v Pakistan,Dambulla,2009-03-08,won
Pakistan,233/9,50,4.66,1,lost,v New Zealand,Johannesburg,2009-03-10,won
New Zealand,234/5,47.5,4.89,2,won,v Pakistan,Johannesburg,2009-03-10,lost
Zimbabwe,44,24.5,1.77,1,lost,v Bangladesh,Chattogram,2009-03-11,won
Bangladesh,49/4,11.5,4.14,2,won,v Zimbabwe,Chattogram,2009-03-11,lost
